X;Y;site;bank;dist;slope;height;aspect;los;acc;period
378914;4584448;Abric de la Masia-1;right;8488;18.94;449;332;1454;184;LBA
409600;4580340;Abric Sota Penya III;left;9781;53.51;402;80;2080;195;LBA
431300;4616066;Abric vernet-oliveres;left;1142;30.35;426;300;4590;176;LBA
431300;4616066;Abric vernet-oliveres;left;1142;30.35;426;300;4590;176;LBA
431300;4616066;Abric vernet-oliveres;left;1142;30.35;426;300;4590;176;LBA
424133;4598462;Bòbila Madurell;left;5855;1.33;169;259;9940;192;LBA
437007;4597520;Bòbila Molist;left;1246;3.18;117;172;16669;316;LBA
395147;4565778;Bòbila Roca;right;11496;3.45;31;178;10840;118;LBA
416200;4586600;Bòbila Roca;left;2299;2.74;43;349;15583;196;LBA
450837;4600783;Ca l'Estrada;left;7386;1.05;62;245;8840;192;LBA
440852;4616740;Ca l'Oliveró I;left;268;7.84;285;190;13381;274;LBA
441190;4614429;CAan Figueres;left;817;4.03;257;188;20419;248;LBA
428547;4591519;Can Bertran;left;1991;10.95;122;76;8869;267;LBA
427756;4598639;Can Camps- Ca n'alzina- Can Bordoll;left;4889;2.21;156;278;19501;178;LBA
440661;4615035;Can Caselles;left;396;1.39;241;252;12389;251;LBA
423311;4582835;Can Cortés;left;8569;9.23;132;170;12538;286;LBA
436963;4611237;Can Gafa I;left;378;2.11;180;258;24570;216;LBA
423748;4599634;Can Gambús 1;left;7085;1.61;208;217;33533;194;LBA
423748;4599634;Can Gambús 1;left;7085;1.61;208;217;33533;194;LBA
423240;4599870;Can Gambús 2;left;7504;13.68;196;210;8404;204;LBA
423681;4599837;Can Gambús 3;left;7299;1.08;210;353;27269;198;LBA
423681;4599837;Can Gambús 3;left;7299;1.08;210;353;27269;198;LBA
442355;4612655;Can Grau Gros;left;1737;6.79;247;294;8038;190;LBA
415590;4601227;Can Missert;left;6827;6.96;290;13;669;208;LBA
428010;4603816;Can Montlló;left;8319;2.56;231;293;28336;189;LBA
435333;4591705;Can Mora;left;3849;8.57;167;344;4590;176;LBA
442000;4600350;Can Rodes;left;1197;7.87;198;73;4776;248;LBA
428160;4599367;Can Roqueta II est;left;5618;1.88;179;196;47217;196;LBA
427788;4598324;Can Roqueta-Can Revella;left;4574;2.92;151;301;29259;177;LBA
427455;4600248;Can Roqueta-Torre Romeu;left;6511;1.15;184;225;30835;184;LBA
427455;4600248;Can Roqueta-Torre Romeu;left;6511;1.15;184;225;30835;184;LBA
427455;4600248;Can Roqueta-Torre Romeu;left;6511;1.15;184;225;30835;184;LBA
427455;4600248;Can Roqueta-Torre Romeu;left;6511;1.15;184;225;30835;184;LBA
431938;4597539;Can Soldevila;left;1860;18.98;71;116;1683;216;LBA
441294;4592381;Can Teixidor;left;7928;11.13;65;242;17269;198;LBA
427896;4598914;Carrer de Ca n'Alzina (125-143 sector DIASA);left;5162;1.16;162;154;17965;189;LBA
427722;4598924;Carrer de Can Alzina Solar;left;5175;1.94;165;302;34061;180;LBA
425000;4601460;Carrer de Francesc Layret;left;8221;0.81;206;294;14631;258;LBA
441778;4613132;Carrer Santa Digna 33_35_37_39_41;left;1388;5.60;249;323;18431;202;LBA
429080;4595383;Carretera de Ripollet a Santiga;left;1722;8.50;96;352;7518;212;LBA
430633;4581175;Caserna de Sant Pau;left;12095;0.73;7;78;27528;111;LBA
456208;4604949;Cau de la Serra Polseruda;left;7113;24.81;390;170;12028;239;LBA
437817;4615511;Coll de san sous;left;2459;6.53;471;216;23954;204;LBA
471186;4607230;Confluència de la ribera de Calella amb el Torrent del Raig;left;10710;1.81;13;24;2409;155;LBA
407630;4580600;Cova Bonica;left;8452;29.32;404;34;1601;184;LBA
410686;4573679;Cova Cassimanya;left;15908;39.67;513;276;26336;196;LBA
414825;4586945;Cova de Can Montmany;left;2103;40.46;193;85;18489;223;LBA
